300 44850
1 2 100
1 3 100
1 4 100
1 5 100
1 6 100
1 7 100
1 8 100
1 9 100
1 10 100
1 11 100
1 12 100
1 13 100
1 14 100
1 15 100
1 16 100
1 17 100
1 18 100
1 19 100
1 20 100
1 21 100
1 22 100
1 23 100
1 24 100
1 25 100
1 26 100
1 27 100
1 28 100
1 29 100
1 30 100
1 31 100
1 32 100
1 33 100
1 34 100
1 35 100
1 36 100
1 37 100
1 38 100
1 39 100
1 40 100
1 41 100
1 42 100
1 43 100
1 44 100
1 45 100
1 46 100
1 47 100
1 48 100
1 49 100
1 50 100
1 51 100
1 52 100
1 53 100
1 54 100
1 55 100
1 56 100
1 57 100
1 58 100
1 59 100
1 60 100
1 61 100
1 62 100
1 63 100
1 64 100
1 65 100
1 66 100
1 67 100
1 68 100
1 69 100
1 70 100
1 71 100
1 72 100
1 73 100
1 74 100
1 75 100
1 76 100
1 77 100
1 78 100
1 79 100
1 80 100
1 81 100
1 82 100
1 83 100
1 84 100
1 85 100
1 86 100
1 87 100
1 88 100
1 89 100
1 90 100
1 91 100
1 92 100
1 93 100
1 94 100
1 95 100
1 96 100
1 97 100
1 98 100
1 99 100
1 100 100
1 101 100
1 102 100
1 103 100
1 104 100
1 105 100
1 106 100
1 107 100
1 108 100
1 109 100
1 110 100
1 111 100
1 112 100
1 113 100
1 114 100
1 115 100
1 116 100
1 117 100
1 118 100
1 119 100
1 120 100
1 121 100
1 122 100
1 123 100
1 124 100
1 125 100
1 126 100
1 127 100
1 128 100
1 129 100
1 130 100
1 131 100
1 132 100
1 133 100
1 134 100
1 135 100
1 136 100
1 137 100
1 138 100
1 139 100
1 140 100
1 141 100
1 142 100
1 143 100
1 144 100
1 145 100
1 146 100
1 147 100
1 148 100
1 149 100
1 150 100
1 151 100
1 152 100
1 153 100
1 154 100
1 155 100
1 156 100
1 157 100
1 158 100
1 159 100
1 160 100
1 161 100
1 162 100
1 163 100
1 164 100
1 165 100
1 166 100
1 167 100
1 168 100
1 169 100
1 170 100
1 171 100
1 172 100
1 173 100
1 174 100
1 175 100
1 176 100
1 177 100
1 178 100
1 179 100
1 180 100
1 181 100
1 182 100
1 183 100
1 184 100
1 185 100
1 186 100
1 187 100
1 188 100
1 189 100
1 190 100
1 191 100
1 192 100
1 193 100
1 194 100
1 195 100
1 196 100
1 197 100
1 198 100
1 199 100
1 200 100
1 201 100
1 202 100
1 203 100
1 204 100
1 205 100
1 206 100
1 207 100
1 208 100
1 209 100
1 210 100
1 211 100
1 212 100
1 213 100
1 214 100
1 215 100
1 216 100
1 217 100
1 218 100
1 219 100
1 220 100
1 221 100
1 222 100
1 223 100
1 224 100
1 225 100
1 226 100
1 227 100
1 228 100
1 229 100
1 230 100
1 231 100
1 232 100
1 233 100
1 234 100
1 235 100
1 236 100
1 237 100
1 238 100
1 239 100
1 240 100
1 241 100
1 242 100
1 243 100
1 244 100
1 245 100
1 246 100
1 247 100
1 248 100
1 249 100
1 250 100
1 251 100
1 252 100
1 253 100
1 254 100
1 255 100
1 256 100
1 257 100
1 258 100
1 259 100
1 260 100
1 261 100
1 262 100
1 263 100
1 264 100
1 265 100
1 266 100
1 267 100
1 268 100
1 269 100
1 270 100
1 271 100
1 272 100
1 273 100
1 274 100
1 275 100
1 276 100
1 277 100
1 278 100
1 279 100
1 280 100
1 281 100
1 282 100
1 283 100
1 284 100
1 285 100
1 286 100
1 287 100
1 288 100
1 289 100
1 290 100
1 291 100
1 292 100
1 293 100
1 294 100
1 295 100
1 296 100
1 297 100
1 298 100
1 299 100
1 300 100
2 3 100
2 4 100
2 5 100
2 6 100
2 7 100
2 8 100
2 9 100
2 10 100
2 11 100
2 12 100
2 13 100
2 14 100
2 15 100
2 16 100
2 17 100
2 18 100
2 19 100
2 20 100
2 21 100
2 22 100
2 23 100
2 24 100
2 25 100
2 26 100
2 27 100
2 28 100
2 29 100
2 30 100
2 31 100
2 32 100
2 33 100
2 34 100
2 35 100
2 36 100
2 37 100
2 38 100
2 39 100
2 40 100
2 41 100
2 42 100
2 43 100
2 44 100
2 45 100
2 46 100
2 47 100
2 48 100
2 49 100
2 50 100
2 51 100
2 52 100
2 53 100
2 54 100
2 55 100
2 56 100
2 57 100
2 58 100
2 59 100
2 60 100
2 61 100
2 62 100
2 63 100
2 64 100
2 65 100
2 66 100
2 67 100
2 68 100
2 69 100
2 70 100
2 71 100
2 72 100
2 73 100
2 74 100
2 75 100
2 76 100
2 77 100
2 78 100
2 79 100
2 80 100
2 81 100
2 82 100
2 83 100
2 84 100
2 85 100
2 86 100
2 87 100
2 88 100
2 89 100
2 90 100
2 91 100
2 92 100
2 93 100
2 94 100
2 95 100
2 96 100
2 97 100
2 98 100
2 99 100
2 100 100
2 101 100
2 102 100
2 103 100
2 104 100
2 105 100
2 106 100
2 107 100
2 108 100
2 109 100
2 110 100
2 111 100
2 112 100
2 113 100
2 114 100
2 115 100
2 116 100
2 117 100
2 118 100
2 119 100
2 120 100
2 121 100
2 122 100
2 123 100
2 124 100
2 125 100
2 126 100
2 127 100
2 128 100
2 129 100
2 130 100
2 131 100
2 132 100
2 133 100
2 134 100
2 135 100
2 136 100
2 137 100
2 138 100
2 139 100
2 140 100
2 141 100
2 142 100
2 143 100
2 144 100
2 145 100
2 146 100
2 147 100
2 148 100
2 149 100
2 150 100
2 151 100
2 152 100
2 153 100
2 154 100
2 155 100
2 156 100
2 157 100
2 158 100
2 159 100
2 160 100
2 161 100
2 162 100
2 163 100
2 164 100
2 165 100
2 166 100
2 167 100
2 168 100
2 169 100
2 170 100
2 171 100
2 172 100
2 173 100
2 174 100
2 175 100
2 176 100
2 177 100
2 178 100
2 179 100
2 180 100
2 181 100
2 182 100
2 183 100
2 184 100
2 185 100
2 186 100
2 187 100
2 188 100
2 189 100
2 190 100
2 191 100
2 192 100
2 193 100
2 194 100
2 195 100
2 196 100
2 197 100
2 198 100
2 199 100
2 200 100
2 201 100
2 202 100
2 203 100
2 204 100
2 205 100
2 206 100
2 207 100
2 208 100
2 209 100
2 210 100
2 211 100
2 212 100
2 213 100
2 214 100
2 215 100
2 216 100
2 217 100
2 218 100
2 219 100
2 220 100
2 221 100
2 222 100
2 223 100
2 224 100
2 225 100
2 226 100
2 227 100
2 228 100
2 229 100
2 230 100
2 231 100
2 232 100
2 233 100
2 234 100
2 235 100
2 236 100
2 237 100
2 238 100
2 239 100
2 240 100
2 241 100
2 242 100
2 243 100
2 244 100
2 245 100
2 246 100
2 247 100
2 248 100
2 249 100
2 250 100
2 251 100
2 252 100
2 253 100
2 254 100
2 255 100
2 256 100
2 257 100
2 258 100
2 259 100
2 260 100
2 261 100
2 262 100
2 263 100
2 264 100
2 265 100
2 266 100
2 267 100
2 268 100
2 269 100
2 270 100
2 271 100
2 272 100
2 273 100
2 274 100
2 275 100
2 276 100
2 277 100
2 278 100
2 279 100
2 280 100
2 281 100
2 282 100
2 283 100
2 284 100
2 285 100
2 286 100
2 287 100
2 288 100
2 289 100
2 290 100
2 291 100
2 292 100
2 293 100
2 294 100
2 295 100
2 296 100
2 297 100
2 298 100
2 299 100
2 300 100
3 4 100
3 5 100
3 6 100
3 7 100
3 8 100
3 9 100
3 10 100
3 11 100
3 12 100
3 13 100
3 14 100
3 15 100
3 16 100
3 17 100
3 18 100
3 19 100
3 20 100
3 21 100
3 22 100
3 23 100
3 24 100
3 25 100
3 26 100
3 27 100
3 28 100
3 29 100
3 30 100
3 31 100
3 32 100
3 33 100
3 34 100
3 35 100
3 36 100
3 37 100
3 38 100
3 39 100
3 40 100
3 41 100
3 42 100
3 43 100
3 44 100
3 45 100
3 46 100
3 47 100
3 48 100
3 49 100
3 50 100
3 51 100
3 52 100
3 53 100
3 54 100
3 55 100
3 56 100
3 57 100
3 58 100
3 59 100
3 60 100
3 61 100
3 62 100
3 63 100
3 64 100
3 65 100
3 66 100
3 67 100
3 68 100
3 69 100
3 70 100
3 71 100
3 72 100
3 73 100
3 74 100
3 75 100
3 76 100
3 77 100
3 78 100
3 79 100
3 80 100
3 81 100
3 82 100
3 83 100
3 84 100
3 85 100
3 86 100
3 87 100
3 88 100
3 89 100
3 90 100
3 91 100
3 92 100
3 93 100
3 94 100
3 95 100
3 96 100
3 97 100
3 98 100
3 99 100
3 100 100
3 101 100
3 102 100
3 103 100
3 104 100
3 105 100
3 106 100
3 107 100
3 108 100
3 109 100
3 110 100
3 111 100
3 112 100
3 113 100
3 114 100
3 115 100
3 116 100
3 117 100
3 118 100
3 119 100
3 120 100
3 121 100
3 122 100
3 123 100
3 124 100
3 125 100
3 126 100
3 127 100
3 128 100
3 129 100
3 130 100
3 131 100
3 132 100
3 133 100
3 134 100
3 135 100
3 136 100
3 137 100
3 138 100
3 139 100
3 140 100
3 141 100
3 142 100
3 143 100
3 144 100
3 145 100
3 146 100
3 147 100
3 148 100
3 149 100
3 150 100
3 151 100
3 152 100
3 153 100
3 154 100
3 155 100
3 156 100
3 157 100
3 158 100
3 159 100
3 160 100
3 161 100
3 162 100
3 163 100
3 164 100
3 165 100
3 166 100
3 167 100
3 168 100
3 169 100
3 170 100
3 171 100
3 172 100
3 173 100
3 174 100
3 175 100
3 176 100
3 177 100
3 178 100
3 179 100
3 180 100
3 181 100
3 182 100
3 183 100
3 184 100
3 185 100
3 186 100
3 187 100
3 188 100
3 189 100
3 190 100
3 191 100
3 192 100
3 193 100
3 194 100
3 195 100
3 196 100
3 197 100
3 198 100
3 199 100
3 200 100
3 201 100
3 202 100
3 203 100
3 204 100
3 205 100
3 206 100
3 207 100
3 208 100
3 209 100
3 210 100
3 211 100
3 212 100
3 213 100
3 214 100
3 215 100
3 216 100
3 217 100
3 218 100
3 219 100
3 220 100
3 221 100
3 222 100
3 223 100
3 224 100
3 225 100
3 226 100
3 227 100
3 228 100
3 229 100
3 230 100
3 231 100
3 232 100
3 233 100
3 234 100
3 235 100
3 236 100
3 237 100
3 238 100
3 239 100
3 240 100
3 241 100
3 242 100
3 243 100
3 244 100
3 245 100
3 246 100
3 247 100
3 248 100
3 249 100
3 250 100
3 251 100
3 252 100
3 253 100
3 254 100
3 255 100
3 256 100
3 257 100
3 258 100
3 259 100
3 260 100
3 261 100
3 262 100
3 263 100
3 264 100
3 265 100
3 266 100
3 267 100
3 268 100
3 269 100
3 270 100
3 271 100
3 272 100
3 273 100
3 274 100
3 275 100
3 276 100
3 277 100
3 278 100
3 279 100
3 280 100
3 281 100
3 282 100
3 283 100
3 284 100
3 285 100
3 286 100
3 287 100
3 288 100
3 289 100
3 290 100
3 291 100
3 292 100
3 293 100
3 294 100
3 295 100
3 296 100
3 297 100
3 298 100
3 299 100
3 300 100
4 5 100
4 6 100
4 7 100
4 8 100
4 9 100
4 10 100
4 11 100
4 12 100
4 13 100
4 14 100
4 15 100
4 16 100
4 17 100
4 18 100
4 19 100
4 20 100
4 21 100
4 22 100
4 23 100
4 24 100
4 25 100
4 26 100
4 27 100
4 28 100
4 29 100
4 30 100
4 31 100
4 32 100
4 33 100
4 34 100
4 35 100
4 36 100
4 37 100
4 38 100
4 39 100
4 40 100
4 41 100
4 42 100
4 43 100
4 44 100
4 45 100
4 46 100
4 47 100
4 48 100
4 49 100
4 50 100
4 51 100
4 52 100
4 53 100
4 54 100
4 55 100
4 56 100
4 57 100
4 58 100
4 59 100
4 60 100
4 61 100
4 62 100
4 63 100
4 64 100
4 65 100
4 66 100
4 67 100
4 68 100
4 69 100
4 70 100
4 71 100
4 72 100
4 73 100
4 74 100
4 75 100
4 76 100
4 77 100
4 78 100
4 79 100
4 80 100
4 81 100
4 82 100
4 83 100
4 84 100
4 85 100
4 86 100
4 87 100
4 88 100
4 89 100
4 90 100
4 91 100
4 92 100
4 93 100
4 94 100
4 95 100
4 96 100
4 97 100
4 98 100
4 99 100
4 100 100
4 101 100
4 102 100
4 103 100
4 104 100
4 105 100
4 106 100
4 107 100
4 108 100
4 109 100
4 110 100
4 111 100
4 112 100
4 113 100
4 114 100
4 115 100
4 116 100
4 117 100
4 118 100
4 119 100
4 120 100
4 121 100
4 122 100
4 123 100
4 124 100
4 125 100
4 126 100
4 127 100
4 128 100
4 129 100
4 130 100
4 131 100
4 132 100
4 133 100
4 134 100
4 135 100
4 136 100
4 137 100
4 138 100
4 139 100
4 140 100
4 141 100
4 142 100
4 143 100
4 144 100
4 145 100
4 146 100
4 147 100
4 148 100
4 149 100
4 150 100
4 151 100
4 152 100
4 153 100
4 154 100
4 155 100
4 156 100
4 157 100
4 158 100
4 159 100
4 160 100
4 161 100
4 162 100
4 163 100
4 164 100
4 165 100
4 166 100
4 167 100
4 168 100
4 169 100
4 170 100
4 171 100
4 172 100
4 173 100
4 174 100
4 175 100
4 176 100
4 177 100
4 178 100
4 179 100
4 180 100
4 181 100
4 182 100
4 183 100
4 184 100
4 185 100
4 186 100
4 187 100
4 188 100
4 189 100
4 190 100
4 191 100
4 192 100
4 193 100
4 194 100
4 195 100
4 196 100
4 197 100
4 198 100
4 199 100
4 200 100
4 201 100
4 202 100
4 203 100
4 204 100
4 205 100
4 206 100
4 207 100
4 208 100
4 209 100
4 210 100
4 211 100
4 212 100
4 213 100
4 214 100
4 215 100
4 216 100
4 217 100
4 218 100
4 219 100
4 220 100
4 221 100
4 222 100
4 223 100
4 224 100
4 225 100
4 226 100
4 227 100
4 228 100
4 229 100
4 230 100
4 231 100
4 232 100
4 233 100
4 234 100
4 235 100
4 236 100
4 237 100
4 238 100
4 239 100
4 240 100
4 241 100
4 242 100
4 243 100
4 244 100
4 245 100
4 246 100
4 247 100
4 248 100
4 249 100
4 250 100
4 251 100
4 252 100
4 253 100
4 254 100
4 255 100
4 256 100
4 257 100
4 258 100
4 259 100
4 260 100
4 261 100
4 262 100
4 263 100
4 264 100
4 265 100
4 266 100
4 267 100
4 268 100
4 269 100
4 270 100
4 271 100
4 272 100
4 273 100
4 274 100
4 275 100
4 276 100
4 277 100
4 278 100
4 279 100
4 280 100
4 281 100
4 282 100
4 283 100
4 284 100
4 285 100
4 286 100
4 287 100
4 288 100
4 289 100
4 290 100
4 291 100
4 292 100
4 293 100
4 294 100
4 295 100
4 296 100
4 297 100
4 298 100
4 299 100
4 300 100
5 6 100
5 7 100
5 8 100
5 9 100
5 10 100
5 11 100
5 12 100
5 13 100
5 14 100
5 15 100
5 16 100
5 17 100
5 18 100
5 19 100
5 20 100
5 21 100
5 22 100
5 23 100
5 24 100
5 25 100
5 26 100
5 27 100
5 28 100
5 29 100
5 30 100
5 31 100
5 32 100
5 33 100
5 34 100
5 35 100
5 36 100
5 37 100
5 38 100
5 39 100
5 40 100
5 41 100
5 42 100
5 43 100
5 44 100
5 45 100
5 46 100
5 47 100
5 48 100
5 49 100
5 50 100
5 51 100
5 52 100
5 53 100
5 54 100
5 55 100
5 56 100
5 57 100
5 58 100
5 59 100
5 60 100
5 61 100
5 62 100
5 63 100
5 64 100
5 65 100
5 66 100
5 67 100
5 68 100
5 69 100
5 70 100
5 71 100
5 72 100
5 73 100
5 74 100
5 75 100
5 76 100
5 77 100
5 78 100
5 79 100
5 80 100
5 81 100
5 82 100
5 83 100
5 84 100
5 85 100
5 86 100
5 87 100
5 88 100
5 89 100
5 90 100
5 91 100
5 92 100
5 93 100
5 94 100
5 95 100
5 96 100
5 97 100
5 98 100
5 99 100
5 100 100
5 101 100
5 102 100
5 103 100
5 104 100
5 105 100
5 106 100
5 107 100
5 108 100
5 109 100
5 110 100
5 111 100
5 112 100
5 113 100
