300 44850
1 2 72
1 3 34
1 4 96
1 5 84
1 6 2
1 7 50
1 8 3
1 9 99
1 10 40
1 11 6
1 12 14
1 13 60
1 14 85
1 15 97
1 16 55
1 17 74
1 18 17
1 19 76
1 20 81
1 21 43
1 22 20
1 23 31
1 24 21
1 25 58
1 26 82
1 27 69
1 28 89
1 29 2
1 30 40
1 31 62
1 32 73
1 33 58
1 34 78
1 35 36
1 36 11
1 37 67
1 38 67
1 39 69
1 40 54
1 41 6
1 42 93
1 43 86
1 44 81
1 45 63
1 46 24
1 47 19
1 48 54
1 49 65
1 50 100
1 51 49
1 52 44
1 53 21
1 54 97
1 55 33
1 56 95
1 57 79
1 58 53
1 59 69
1 60 54
1 61 82
1 62 91
1 63 65
1 64 64
1 65 94
1 66 15
1 67 89
1 68 18
1 69 56
1 70 69
1 71 81
1 72 93
1 73 2
1 74 25
1 75 75
1 76 66
1 77 75
1 78 97
1 79 84
1 80 42
1 81 14
1 82 64
1 83 51
1 84 73
1 85 25
1 86 58
1 87 91
1 88 35
1 89 11
1 90 12
1 91 89
1 92 38
1 93 32
1 94 90
1 95 54
1 96 89
1 97 49
1 98 79
1 99 34
1 100 44
1 101 43
1 102 82
1 103 16
1 104 61
1 105 42
1 106 22
1 107 95
1 108 6
1 109 75
1 110 70
1 111 7
1 112 87
1 113 8
1 114 17
1 115 92
1 116 84
1 117 4
1 118 2
1 119 49
1 120 82
1 121 67
1 122 68
1 123 5
1 124 82
1 125 22
1 126 86
1 127 6
1 128 38
1 129 32
1 130 50
1 131 2
1 132 42
1 133 62
1 134 86
1 135 63
1 136 63
1 137 58
1 138 27
1 139 58
1 140 91
1 141 98
1 142 98
1 143 49
1 144 49
1 145 67
1 146 19
1 147 99
1 148 4
1 149 76
1 150 31
1 151 58
1 152 46
1 153 2
1 154 54
1 155 61
1 156 57
1 157 84
1 158 54
1 159 12
1 160 81
1 161 19
1 162 98
1 163 100
1 164 82
1 165 65
1 166 19
1 167 98
1 168 46
1 169 60
1 170 30
1 171 87
1 172 98
