300 44850
1 2 8
1 3 3
1 4 5
1 5 6
1 6 9
1 7 9
1 8 3
1 9 7
1 10 2
1 11 3
1 12 1
1 13 7
1 14 2
1 15 3
1 16 6
1 17 5
1 18 2
1 19 9
1 20 3
1 21 8
1 22 6
1 23 5
1 24 3
1 25 8
1 26 9
1 27 7
1 28 2
1 29 5
1 30 5
1 31 2
1 32 7
1 33 2
1 34 5
1 35 6
1 36 1
1 37 9
1 38 7
1 39 7
1 40 9
1 41 9
1 42 4
1 43 2
1 44 9
1 45 5
1 46 8
1 47 1
1 48 1
1 49 2
1 50 3
1 51 7
1 52 8
1 53 2
1 54 1
1 55 9
1 56 9
1 57 1
1 58 1
1 59 4
1 60 2
1 61 4
1 62 3
1 63 8
1 64 9
1 65 2
1 66 1
1 67 5
1 68 2
1 69 8
1 70 4
1 71 1
1 72 9
1 73 1
1 74 1
1 75 3
1 76 5
1 77 5
1 78 7
1 79 6
1 80 1
1 81 6
1 82 1
1 83 4
1 84 5
1 85 4
1 86 3
1 87 7
1 88 3
1 89 4
1 90 8
1 91 7
1 92 3
1 93 4
1 94 7
1 95 9
1 96 3
1 97 9
1 98 5
1 99 5
1 100 4
1 101 9
1 102 9
1 103 4
1 104 4
1 105 2
1 106 9
1 107 4
1 108 7
1 109 6
1 110 3
1 111 1
1 112 2
1 113 6
1 114 7
1 115 4
1 116 1
1 117 8
1 118 2
1 119 6
1 120 2
1 121 3
1 122 9
1 123 6
1 124 1
1 125 3
1 126 8
1 127 1
1 128 7
1 129 8
1 130 3
1 131 8
1 132 9
1 133 8
1 134 1
1 135 3
1 136 1
1 137 7
1 138 2
1 139 3
1 140 6
1 141 2
1 142 9
1 143 8
1 144 8
1 145 2
1 146 3
1 147 9
1 148 9
1 149 7
1 150 5
1 151 9
1 152 8
1 153 6
1 154 1
1 155 4
1 156 6
1 157 7
1 158 6
1 159 7
1 160 4
1 161 3
1 162 8
1 163 4
1 164 4
1 165 4
1 166 7
1 167 7
1 168 9
1 169 7
1 170 7
1 171 9
1 172 6
1 173 1
1 174 1
1 175 3
1 176 7
1 177 4
1 178 8
1 179 7
1 180 5
1 181 7
1 182 6
1 183 7
1 184 7
1 185 8
1 186 8
1 187 9
1 188 4
1 189 1
1 190 6
1 191 3
1 192 8
1 193 5
1 194 5
1 195 5
1 196 7
1 197 6
1 198 1
1 199 7
1 200 1
1 201 6
1 202 2
1 203 8
1 204 6
1 205 6
1 206 5
1 207 5
1 208 3
1 209 8
1 210 2
1 211 5
1 212 1
1 213 3
1 214 8
1 215 3
1 216 4
1 217 8
1 218 5
1 219 1
1 220 2
1 221 6
1 222 1
1 223 8
1 224 4
1 225 8
1 226 5
1 227 5
1 228 5
1 229 5
1 230 6
1 231 7
1 232 9
1 233 5
1 234 4
1 235 8
1 236 4
1 237 8
1 238 1
1 239 3
1 240 8
1 241 4
1 242 1
1 243 8
1 244 1
1 245 7
1 246 9
1 247 1
1 248 3
1 249 8
1 250 9
1 251 1
1 252 8
1 253 5
1 254 4
1 255 3
1 256 8
1 257 8
1 258 5
1 259 1
1 260 4
1 261 9
1 262 9
1 263 5
1 264 6
1 265 2
1 266 2
1 267 5
1 268 6
1 269 1
1 270 1
1 271 9
1 272 5
1 273 4
1 274 5
1 275 3
1 276 1
1 277 9
1 278 6
1 279 5
1 280 3
1 281 2
1 282 5
1 283 9
1 284 6
1 285 5
1 286 9
1 287 2
1 288 7
1 289 3
1 290 5
1 291 1
1 292 5
1 293 1
1 294 8
1 295 6
1 296 9
1 297 4
